epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2955,1.86226,4.66395,1.49737,0.00041,0.09705,5e-05,2e-05,1.80793,5.5014,1.64586,0.000537742,0.000537742,0.000537742
2,30.1578,1.66223,3.56351,1.32895,0.00033,0.05685,0.00266,0.00154,1.9695,5.43763,1.74845,0.00108258,0.00108258,0.00108258
3,43.9645,1.6015,3.13957,1.31087,0.00556,0.00388,0.00078,0.00048,1.78691,5.12217,1.61489,0.00161642,0.00161642,0.00161642
4,57.449,1.56678,2.74057,1.35979,0.03764,0.0804,0.01613,0.00528,1.71465,5.87201,1.45322,0.00161749,0.00161749,0.00161749
5,70.9706,1.48004,2.53923,1.30414,0.2988,0.25793,0.22341,0.13681,1.50219,3.46923,1.45794,0.00160099,0.00160099,0.00160099
6,84.6023,1.5149,2.27838,1.31201,0.45294,0.25939,0.27516,0.15761,1.49459,3.03559,1.40972,0.00158448,0.00158448,0.00158448
7,97.0553,1.44713,2.05055,1.28807,0.41352,0.42289,0.39951,0.23417,1.43826,2.71776,1.35059,0.00156798,0.00156798,0.00156798
8,109.747,1.40916,1.939,1.26419,0.38902,0.44571,0.35165,0.21613,1.42237,2.84406,1.34208,0.00155148,0.00155148,0.00155148
9,123.574,1.44498,1.90109,1.29931,0.60067,0.47462,0.53566,0.32906,1.27902,2.80999,1.27913,0.00153497,0.00153497,0.00153497
10,137.07,1.37779,1.79095,1.23746,0.59137,0.53189,0.60001,0.36717,1.2823,2.02638,1.23972,0.00151847,0.00151847,0.00151847
11,150.736,1.37841,1.73066,1.24781,0.60116,0.41879,0.49045,0.30305,1.33773,1.99466,1.25717,0.00150197,0.00150197,0.00150197
12,164.285,1.30877,1.58839,1.20166,0.34947,0.33326,0.25988,0.1788,1.31306,2.7573,1.26863,0.00148546,0.00148546,0.00148546
13,177.861,1.288,1.50842,1.20143,0.39428,0.52595,0.442,0.27792,1.38934,2.05232,1.35229,0.00146896,0.00146896,0.00146896
14,189.954,1.3079,1.47127,1.18849,0.61098,0.63576,0.69328,0.44045,1.21568,1.48667,1.21283,0.00145246,0.00145246,0.00145246
15,202.52,1.26883,1.44147,1.20955,0.70307,0.62202,0.70439,0.44463,1.23137,1.39144,1.19021,0.00143595,0.00143595,0.00143595
16,216.23,1.30647,1.40962,1.2096,0.70628,0.61613,0.71819,0.46975,1.14582,1.43009,1.16621,0.00141945,0.00141945,0.00141945
17,229.648,1.27695,1.34239,1.18968,0.55989,0.56783,0.55664,0.37326,1.23821,1.58871,1.21102,0.00140295,0.00140295,0.00140295
18,243.055,1.30729,1.38794,1.23125,0.79365,0.71738,0.8249,0.54767,1.14782,1.23308,1.17814,0.00138644,0.00138644,0.00138644
19,256.656,1.24901,1.2899,1.18028,0.59833,0.64854,0.6535,0.42181,1.15228,1.4731,1.21483,0.00136994,0.00136994,0.00136994
20,269.083,1.2252,1.31491,1.17864,0.71843,0.62045,0.71604,0.47906,1.12879,1.35126,1.19289,0.00135344,0.00135344,0.00135344
21,281.728,1.26813,1.30135,1.20808,0.74573,0.68173,0.78304,0.52339,1.1263,1.17015,1.18797,0.00133693,0.00133693,0.00133693
22,295.392,1.23648,1.27524,1.19287,0.80095,0.71868,0.83606,0.56489,1.09355,1.1217,1.15914,0.00132043,0.00132043,0.00132043
23,308.939,1.19438,1.1461,1.13752,0.84081,0.82158,0.8958,0.59795,1.07127,1.09245,1.13807,0.00130393,0.00130393,0.00130393
24,322.555,1.18261,1.15115,1.16007,0.74723,0.78481,0.8356,0.57209,1.06223,1.08538,1.1302,0.00128742,0.00128742,0.00128742
25,335.801,1.18632,1.10326,1.14478,0.82504,0.80016,0.89238,0.60804,1.03846,0.98452,1.1115,0.00127092,0.00127092,0.00127092
26,348.703,1.16894,1.10513,1.12639,0.83995,0.73107,0.84311,0.58208,1.05777,1.00568,1.11287,0.00125442,0.00125442,0.00125442
27,361.082,1.17226,1.09991,1.14572,0.82877,0.72026,0.81574,0.57115,1.03635,1.05481,1.12999,0.00123791,0.00123791,0.00123791
28,374.536,1.13593,1.04344,1.12649,0.8985,0.74156,0.86172,0.58324,1.07251,0.9588,1.13585,0.00122141,0.00122141,0.00122141
29,388.217,1.12251,1.02574,1.10759,0.8164,0.83206,0.89098,0.61442,1.04954,0.92359,1.12404,0.00120491,0.00120491,0.00120491
30,401.747,1.14864,1.03534,1.14643,0.90066,0.76848,0.89568,0.62612,0.99652,0.95267,1.0921,0.0011884,0.0011884,0.0011884
31,415.339,1.08468,0.94445,1.10241,0.89353,0.82337,0.91583,0.66197,0.96266,0.81427,1.06669,0.0011719,0.0011719,0.0011719
32,428.532,1.06498,0.9921,1.09997,0.86342,0.8639,0.90909,0.61972,1.01076,0.81011,1.10232,0.0011554,0.0011554,0.0011554
33,440.598,1.10598,0.96989,1.11927,0.8042,0.75574,0.86092,0.59934,1.03957,0.92308,1.10111,0.00113889,0.00113889,0.00113889
34,453.246,1.07519,0.93764,1.09641,0.88653,0.84376,0.92606,0.65118,0.98372,0.83464,1.09119,0.00112239,0.00112239,0.00112239
35,466.447,1.08021,0.92202,1.09202,0.85024,0.80658,0.8863,0.62097,1.0013,0.8347,1.10757,0.00110589,0.00110589,0.00110589
