epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.40477,2.41741,5.36859,1.84678,0.0001,0.02857,0,0,2.59744,6.54042,2.33724,0.000571429,0.000571429,0.000571429
2,8.8612,2.44918,5.54791,1.92294,0.00022,0.06667,2e-05,0,2.73973,6.82101,2.25454,0.00122584,0.00122584,0.00122584
3,11.2359,2.52851,5.3015,1.9245,0.00035,0.10476,4e-05,1e-05,2.70228,7.13766,2.09795,0.00186705,0.00186705,0.00186705
4,13.9115,2.46809,4.50812,2.11885,3e-05,0.00952,0,0,2.71416,6.75302,2.27711,0.0019406,0.0019406,0.0019406
5,17.9129,2.47882,4.95032,2.04749,6e-05,0.01905,0,0,2.39922,5.85036,2.04812,0.0019208,0.0019208,0.0019208
6,20.9916,2.07544,4.3458,1.60978,0.00229,0.68571,0.00166,0.00039,2.60528,38.7549,3.28588,0.001901,0.001901,0.001901
7,23.5587,1.9942,4.1332,1.57741,0.00257,0.77143,0.00244,0.0008,2.21859,5.34014,2.39204,0.0018812,0.0018812,0.0018812
8,26.1692,1.96228,3.60624,1.57667,0.1766,0.11429,0.05325,0.0206,2.27207,4.38986,2.3292,0.0018614,0.0018614,0.0018614
9,28.7978,2.02687,3.59495,1.6255,0.12921,0.1619,0.06322,0.02393,2.24728,4.0537,2.15963,0.0018416,0.0018416,0.0018416
10,32.8931,1.87964,3.54597,1.52055,0.05435,0.20952,0.03057,0.01546,2.20465,4.86097,2.19021,0.0018218,0.0018218,0.0018218
11,36.0198,1.76509,3.27093,1.431,0.04903,0.01905,0.00396,0.00143,2.4036,4.50841,2.20775,0.001802,0.001802,0.001802
12,38.6782,1.73541,2.99354,1.46118,0.30175,0.23871,0.18232,0.07501,1.89554,3.33465,1.77939,0.0017822,0.0017822,0.0017822
13,41.2576,1.83168,3.1657,1.48757,0.39242,0.20952,0.17044,0.08032,1.96416,3.46724,1.79067,0.0017624,0.0017624,0.0017624
14,43.8143,1.81671,2.95052,1.45784,0.56315,0.11429,0.16454,0.08046,1.67017,3.67669,1.46436,0.0017426,0.0017426,0.0017426
15,47.3957,1.7096,2.69546,1.36986,0.42722,0.04762,0.05457,0.0317,1.71308,4.19374,1.55414,0.0017228,0.0017228,0.0017228
16,51.0855,1.69694,2.57732,1.34969,0.323,0.0381,0.02036,0.01425,1.79799,4.38871,1.53731,0.001703,0.001703,0.001703
17,53.5331,1.60569,2.41493,1.32451,0.42685,0.0284,0.02018,0.00881,1.80346,4.24518,1.56442,0.0016832,0.0016832,0.0016832
18,56.2688,1.5533,2.3225,1.30382,0.61276,0.06049,0.06544,0.02722,1.83288,4.10795,1.61106,0.0016634,0.0016634,0.0016634
19,58.8774,1.57116,2.15,1.30643,0.83733,0.00952,0.00509,0.00355,1.98751,4.53196,1.72625,0.0016436,0.0016436,0.0016436
20,62.0309,1.53688,2.09501,1.30759,0.00063,0.19048,0.00012,5e-05,1.9611,4.88091,1.68343,0.0016238,0.0016238,0.0016238
21,66.0014,1.49857,2.20023,1.29592,0.00092,0.27619,0.00041,0.0002,1.89602,4.43306,1.61095,0.001604,0.001604,0.001604
22,68.6492,1.55885,2.01531,1.32462,1,0.01715,0.02617,0.01387,1.96875,4.27531,1.64833,0.0015842,0.0015842,0.0015842
23,71.1585,1.46181,2.01752,1.28192,1,0.01733,0.01525,0.00761,1.93034,4.30273,1.67884,0.0015644,0.0015644,0.0015644
24,73.6516,1.39605,1.80664,1.23492,0.92463,0.11698,0.17344,0.1043,1.60879,3.61522,1.44225,0.0015446,0.0015446,0.0015446
25,76.211,1.43099,1.77682,1.24633,1,0.05351,0.09611,0.05756,1.59599,3.84928,1.41963,0.0015248,0.0015248,0.0015248
26,80.4058,1.56491,1.85387,1.26791,0.67534,0.04762,0.05444,0.03797,1.56426,4.05126,1.47212,0.001505,0.001505,0.001505
27,83.5135,1.39347,1.63281,1.21763,0.73789,0.17143,0.29157,0.1714,1.47939,3.30109,1.34138,0.0014852,0.0014852,0.0014852
28,86.0452,1.36015,1.75073,1.26983,0.83114,0.32819,0.48713,0.29599,1.34578,2.96243,1.23585,0.0014654,0.0014654,0.0014654
29,88.6602,1.33339,1.71214,1.1975,0.83837,0.44463,0.57768,0.37446,1.28145,2.54619,1.18735,0.0014456,0.0014456,0.0014456
30,91.2499,1.27943,1.62002,1.18583,0.73313,0.72381,0.72581,0.46556,1.32608,1.98271,1.15813,0.0014258,0.0014258,0.0014258
31,94.8683,1.3311,1.5264,1.19211,0.81818,0.55238,0.70397,0.45804,1.32137,2.21652,1.17013,0.001406,0.001406,0.001406
32,98.7334,1.31613,1.63681,1.17388,0.86115,0.41351,0.67833,0.4425,1.24497,2.48805,1.15605,0.0013862,0.0013862,0.0013862
33,101.221,1.35472,1.67644,1.21418,0.78008,0.43919,0.66192,0.42852,1.27345,2.40535,1.1729,0.0013664,0.0013664,0.0013664
34,103.709,1.31281,1.45741,1.14179,0.84205,0.67619,0.81126,0.53027,1.21474,1.81548,1.16169,0.0013466,0.0013466,0.0013466
35,106.186,1.32432,1.41545,1.16536,0.85344,0.83189,0.89396,0.58815,1.18456,1.66843,1.12228,0.0013268,0.0013268,0.0013268
36,108.962,1.25878,1.40397,1.14212,0.86992,0.82796,0.92765,0.6229,1.14959,1.56467,1.09471,0.001307,0.001307,0.001307
