epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4705,1.5694,4.3131,1.31266,0.00297,0.8835,0.02704,0.00787,1.36389,4.57587,1.22047,0.000633333,0.000633333,0.000633333
2,18.7541,1.57581,3.22825,1.3433,0.00244,0.72492,0.00257,0.00098,1.53504,4.63979,1.39009,0.00128713,0.00128713,0.00128713
3,28.7845,1.50049,2.85271,1.30431,0.00054,0.16181,9e-05,2e-05,2.41709,5.77472,2.32235,0.00192773,0.00192773,0.00192773
4,37.1641,1.46738,2.79689,1.28177,0.005,0.11974,0.00641,0.00303,1.77579,8.8404,1.66853,0.0019406,0.0019406,0.0019406
5,45.6105,1.34925,2.33311,1.25934,0.09019,0.05825,0.03508,0.02256,1.65746,4.03006,1.57101,0.0019208,0.0019208,0.0019208
6,54.4747,1.47315,2.22269,1.29643,0.00708,0.0712,0.00241,0.00134,1.71419,12.1995,1.67631,0.001901,0.001901,0.001901
7,62.3169,1.37947,2.13182,1.25601,0.44618,0.46602,0.44039,0.30588,1.29286,2.68296,1.31928,0.0018812,0.0018812,0.0018812
8,71.6343,1.38745,2.06169,1.24921,0.53833,0.4822,0.54968,0.36398,1.24802,2.27542,1.25069,0.0018614,0.0018614,0.0018614
9,78.8756,1.29279,1.6885,1.21792,0.63169,0.52731,0.57967,0.38364,1.22424,2.06651,1.2508,0.0018416,0.0018416,0.0018416
10,88.196,1.30779,1.69956,1.2341,0.56817,0.56631,0.59273,0.39359,1.23123,2.00161,1.26669,0.0018218,0.0018218,0.0018218
11,95.4599,1.26404,1.72125,1.20916,0.69922,0.5178,0.60632,0.3964,1.23051,2.05239,1.22948,0.001802,0.001802,0.001802
12,105.606,1.30417,1.60457,1.21528,0.76644,0.39295,0.51691,0.34148,1.19179,2.70398,1.20615,0.0017822,0.0017822,0.0017822
13,112.771,1.17449,1.53661,1.17964,0.66615,0.59871,0.63771,0.44153,1.14517,1.79444,1.19237,0.0017624,0.0017624,0.0017624
14,122.652,1.30537,1.54762,1.29286,0.54212,0.43042,0.49301,0.36044,1.16699,2.82919,1.20689,0.0017426,0.0017426,0.0017426
15,130.143,1.28974,1.42957,1.22839,0.67747,0.60841,0.68029,0.46853,1.14159,2.07428,1.21221,0.0017228,0.0017228,0.0017228
16,139.082,1.20442,1.34329,1.18621,0.7368,0.6704,0.75809,0.53481,1.0951,2.61799,1.17636,0.001703,0.001703,0.001703
17,147.191,1.20544,1.34905,1.18936,0.75889,0.68608,0.75831,0.55379,1.03503,1.41042,1.13961,0.0016832,0.0016832,0.0016832
